32.384	-74.136	2.365
3.034	61.867	32.418
17.300	16.300	1.700
32.300	16.300	1.700
32.327	46.587	2.587
17.362	61.484	1.705
18.135	76.486	2.010
2.300	1.300	-13.300
17.300	1.300	-13.300
47.776	1.330	-13.326
2.300	16.300	-13.300
17.300	16.300	-13.300
32.300	16.300	-13.300
47.842	16.699	-13.363
2.300	31.300	-13.300
17.300	31.300	-13.300
32.300	31.300	-13.300
48.170	31.905	-13.340
2.643	47.275	-13.981
17.677	46.507	-13.906
33.004	47.072	-13.765
48.176	46.919	-13.841
3.242	61.814	-13.348
18.259	62.108	-13.958
32.959	61.662	-13.923
17.360	76.327	-13.716
17.300	16.300	-28.300
32.300	16.300	-28.300
47.329	17.038	-28.503
2.300	31.300	-28.300
17.300	31.300	-28.300
32.300	31.300	-28.300
47.865	32.180	-28.926
17.497	46.624	-29.058
32.700	46.390	-28.772
47.591	46.476	-28.330
2.448	61.369	-28.997
17.339	61.625	-28.627
32.874	61.591	-28.607
32.695	1.791	-43.982
2.828	17.230	-43.440
17.512	16.957	-43.989
2.402	31.325	-44.291
18.089	32.031	-44.224
32.631	32.158	-43.989
48.047	31.987	-43.439
18.022	46.618	-43.383
32.783	47.266	-43.784
17.864	61.531	-44.094
32.939	61.843	-43.752
17.315	31.842	-58.379
2.376	46.419	-59.256
3.065	31.941	-59.000
-28.412	61.405	-43.984
-13.254	61.660	-44.078
-42.741	46.597	-43.720
-28.211	46.884	-44.282
-12.710	46.949	-43.614
2.526	47.295	-43.564
-42.946	31.909	-44.034
-28.270	32.153	-43.990
-12.722	32.098	-43.587
-12.867	16.843	-44.011
-13.587	76.512	-28.851
-28.421	61.710	-29.025
-13.106	61.831	-29.032
-43.547	46.995	-28.676
-27.839	46.891	-28.987
-13.003	46.957	-28.704
2.422	46.425	-29.272
-42.965	32.124	-28.495
-27.700	31.300	-28.300
-12.700	31.300	-28.300
-42.826	17.036	-29.134
-27.700	16.300	-28.300
-12.700	16.300	-28.300
2.300	16.300	-28.300
-43.197	2.294	-28.656
-27.700	1.300	-28.300
-12.700	1.300	-28.300
-13.158	76.493	-14.163
2.649	76.411	-13.604
-27.980	62.019	-14.185
-12.716	61.545	-13.543
-42.769	46.366	-13.333
-28.173	47.154	-13.550
-13.537	46.522	-14.123
-43.540	31.400	-14.057
-27.700	31.300	-13.300
-12.700	31.300	-13.300
-43.445	16.531	-13.946
-27.700	16.300	-13.300
-12.700	16.300	-13.300
-42.765	1.981	-13.672
-27.700	1.300	-13.300
-12.700	1.300	-13.300
-28.525	62.208	2.069
-12.731	61.923	1.758
-27.700	31.300	1.700
-43.302	16.323	2.323
-12.700	16.300	1.700
2.300	16.300	1.700
-43.598	2.275	2.308
-12.700	-13.700	1.700
-43.618	-14.313	1.964
-12.700	-28.700	1.700
-43.488	-28.963	2.081
3.055	-44.525	2.593
-13.153	-59.001	2.084
-28.598	-59.319	1.815
-12.732	-74.580	2.115
2.300	-13.700	-13.300
-12.700	-13.700	-13.300
-27.700	-13.700	-13.300
-43.332	-13.847	-14.067
-12.700	-28.700	-13.300
-27.700	-28.700	-13.300
-43.678	-28.871	-13.459
